 (Half Day),（半天）
"If mentioned, the system will allow only the users with this Role to create or modify any stock transaction earlier than the latest stock transaction for a specific item and warehouse. If set as blank, it allows all users to create/edit back-dated transactions.","如维护用户角色，则仅该角色的用户可以新建/修改记账日期早于最新日期的物料移动(物料与仓库），即事后补账，如角色字段留空，则有物料移动权限的用户均可事后补账"
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.",如果几条动态定价规则同时使用，系统将提醒用户设置优先级。
"If non standard port (e.g. 587). If on Google Cloud, try port 2525.",如果非标准端口（例如587）。如果在Google Cloud上，请尝试使用端口2525。
"If non-standard port (e.g. POP3: 995/110, IMAP: 993/143)","如使用非标端口 (如. POP3: 995/110, IMAP: 993/143)",
"If not checked, the list will have to be added to each Department where it has to be applied.",如果未勾选，需手动将此禁止休假日表添加到部门。
"If not set, the currency precision will depend on number format",如果未设置，则货币精度将取决于数字格式
"If not, you can Cancel / Submit this entry",请选择以下方式中的一种之后 
"If rate is zero them item will be treated as \"Free Item\"",如单价为0则会被标记为免费
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",如果选定的动肪定价规则针对“价格”，则会覆盖标价。动态定价规则算出的单价就是最终单价，不会再应用更多折扣。因此，在销售订单，采购订单等交易中，对应的是单价而不是标价字段。
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ",如果勾选，则此薪资构成项中指定或计算的值不影响收入或扣除。但是，其值可被其它添加或扣除薪资构成项引用。
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order",如果Shopify不包含订单中的客户，则在同步订单时，系统会考虑默认客户订单
"If the account is frozen, entries are allowed to restricted users.",如果科目被冻结，只允许有编辑冻结凭证角色的用户过账
"If the item is transacting as a Zero Valuation Rate item in this entry, please enable 'Allow Zero Valuation Rate' in the {0} Item table.",如在交易中允许物料成本价为0，请在明细行中勾选允许成本价为0
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop",如果用户检查了任何角色，则该用户将成为“系统用户”。 “系统用户”可以访问桌面
"If the user has any role checked,then the user becomes a ""System User"". ""System User"" has access to the desktop",如果为用户分派了任何角色，则用户就成为了“系统用户”。 “系统用户”可以访问桌面
"If there is no assigned timeslot, then communication will be handled by this group",如果没有分配的时间段，则该组将处理通信
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",如果这些说明没有帮助，请在Github提交你的建议。
"If this checkbox is checked, paid amount will be splitted and allocated as per the amounts in payment schedule against each payment term",如勾选，则金额根据付款计划明细中的付款条款进行拆分,
"If this checkbox is enabled, then the system won't run the MRP for the available sub-assembly items.","勾选后，计划数量=需求-可用库存，可用足够时生产子件被删除"
"If this checkbox is enabled, then the system won’t run the MRP for the available sub-assembly items.","勾选后，计划数量=需求-可用库存，可用足够时生产子件被删除"
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.",如果勾选，将仅导入有效数据，无效数据被保存在新文件中供稍后导入。
"If this is unchecked direct GL Entries will be created to book Deferred Revenue/Expense",如不勾选，递延收入或费用会直接记入总账
"If this item has variants, then it cannot be selected in sales orders etc.",如果勾选有多种规格，该物料就是多规格模板物料，用于生成多规格物料，本身不能用于实际业务中
"If this item has variants,then it cannot be selected in sales orders etc.",如果此物料有多种规格(模板物料)，就不能直接在销售订单中使用，相应地需使用具体的多规格物料
"If this option is configured 'Yes', ERPNext will prevent you from creating a Purchase Invoice or Receipt without creating a Purchase Order first. This configuration can be overridden for a particular supplier by enabling the 'Allow Purchase Invoice Creation Without Purchase Order' checkbox in supplier master.,此设置可防止未创建采购订单的情况下创建采购入库或采购发票，可在供应商基础资料中覆盖此设置
"If this option is configured 'Yes', ERPNext will prevent you from creating a Purchase Invoice without creating a Purchase Receipt first. This configuration can be overridden for a particular supplier by enabling the 'Allow Purchase Invoice Creation Without Purchase Receipt' checkbox in supplier master.,此设置可防止未创建采购入库的情况下创建采购发票，可在供应商基础资料中覆盖此设置
"If ticked, auto assign item location per available qty",如勾选，保存时自动为物料分配有可拣数量的仓库，删除无可拣数量的物料，提交前需勾选
"If ticked, multiple materials can be used for a single Work Order. This is useful if one or more time consuming products are being manufactured.",如勾选，一个工单可使用多个物料，此设置针对一个或多个长周期产品生产
"If ticked, the BOM cost will be automatically updated based on Valuation Rate / Price List Rate / last purchase rate of raw materials.",如勾选，BOM成本会基于其原材料的成本价/价格表基础资料/最新采购价自动更新
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",如果存在多个动态定价规则，则会用优先级来区分。优先级是介于0到20的数字，默认值是零（或留空）。数字越大，优先级越高。
"If unchecked, the item wont be appear in Sales Invoice, but can be used in group test creation. ",如果不勾选，该物料不会出现在销售发票中，但可用于创建组测试。
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.",如果积分无失效日期，请将失效日期设为空或0。
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.",如果你的操作是更新，请选择“覆盖”否则现有的行不会删除。
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",上传新纪录时，如果有单据编号模板字段，那么“单据编号模板”必须填写。
